instance_name,provider,region,vcpus,memory_gb,storage_gb,storage_type,hourly_cost,monthly_cost,spot_price,currency,instance_family,network_performance,last_updated
r5a.xlarge,AWS,Asia Pacific (Tokyo),4,32.0,0,EBS only,0.274,200.02,,USD,Memory optimized,Up to 10 Gigabit,2026-02-15 14:39:26.142811
m6i.metal,AWS,EU (Stockholm),128,512.0,0,EBS only,6.528,4765.44,,USD,General purpose,50000 Megabit,2026-02-15 14:39:26.142971
i4i.2xlarge,AWS,South America (Sao Paulo),8,64.0,1,1 x 1875 NVMe SSD,1.096,800.08,,USD,Storage optimized,Up to 12 Gigabit,2026-02-15 14:39:26.143066
m7g.xlarge,AWS,Asia Pacific (Singapore),4,16.0,0,EBS only,0.204,148.92,,USD,General purpose,Up to 12500 Megabit,2026-02-15 14:39:26.143152
i7ie.3xlarge,AWS,EU (Paris),12,96.0,1,1 x 7500 NVMe SSD,1.8147,1324.731,,USD,Storage optimized,Up to 25 Gigabit,2026-02-15 14:39:26.143193
r5n.metal,AWS,EU (Ireland),96,768.0,0,EBS only,8.016,5851.68,,USD,Memory optimized,100 Gigabit,2026-02-15 14:39:26.143348
r5dn.24xlarge,AWS,Asia Pacific (Seoul),96,768.0,4,4 x 900 NVMe SSD,9.552,6972.96,,USD,Memory optimized,100 Gigabit,2026-02-15 14:39:26.143436
m8gd.2xlarge,AWS,Asia Pacific (Malaysia),8,32.0,1,1 x 475 NVMe SSD,0.48928,357.1744,,USD,General purpose,Up to 15 Gigabit,2026-02-15 14:39:26.143477
m5d.12xlarge,AWS,US East (N. Virginia),48,192.0,2,2 x 900 NVMe SSD,2.712,1979.7600000000002,,USD,General purpose,10 Gigabit,2026-02-15 14:39:26.143555
g4dn.16xlarge,AWS,AWS GovCloud (US-West),64,256.0,900,900 GB NVMe SSD,5.486,4004.7799999999997,,USD,GPU instance,50 Gigabit,2026-02-15 14:39:26.143736
r5b.large,AWS,EU (London),2,16.0,0,EBS only,0.175,127.74999999999999,,USD,Memory optimized,Up to 10 Gigabit,2026-02-15 14:39:26.143821
c5.xlarge,AWS,US West (Oregon),4,8.0,0,EBS only,0.17,124.10000000000001,,USD,Compute optimized,Up to 10 Gigabit,2026-02-15 14:39:26.143904
c6g.16xlarge,AWS,EU (Stockholm),64,128.0,0,EBS only,2.336,1705.28,,USD,Compute optimized,25 Gigabit,2026-02-15 14:39:26.143992
r5ad.xlarge,AWS,South America (Sao Paulo),4,32.0,1,1 x 150 NVMe SSD,0.416,303.68,,USD,Memory optimized,Up to 10 Gigabit,2026-02-15 14:39:26.144076
r5b.metal,AWS,Asia Pacific (Singapore),96,768.0,0,EBS only,8.544,6237.120000000001,,USD,Memory optimized,25 Gigabit,2026-02-15 14:39:26.144163
m8a.8xlarge,AWS,Europe (Spain),32,128.0,0,EBS only,2.17056,1584.5088,,USD,General purpose,15000 Megabit,2026-02-15 14:39:26.144199
r7g.metal,AWS,Asia Pacific (Malaysia),64,512.0,0,EBS only,3.5142,2565.366,,USD,Memory optimized,30 Gigabit,2026-02-15 14:39:26.144291
m6idn.12xlarge,AWS,EU (Frankfurt),48,192.0,2,2 x 1425 NVMe SSD,4.54896,3320.7408,,USD,General purpose,75000 Megabit,2026-02-15 14:39:26.144377
t3a.large,AWS,EU (Milan),2,8.0,0,EBS only,0.0862,62.926,,USD,General purpose,Up to 5 Gigabit,2026-02-15 14:39:26.144456
r6i.12xlarge,AWS,US West (Phoenix),48,384.0,0,EBS only,3.6288,2649.024,,USD,Memory optimized,18750 Megabit,2026-02-15 14:39:26.144491
d3en.6xlarge,AWS,US West (Oregon),24,96.0,12,12 x 14000 HDD,3.154,2302.42,,USD,Storage optimized,40 Gigabit,2026-02-15 14:39:26.144566
m6i.2xlarge,AWS,Asia Pacific (Jakarta),8,32.0,0,EBS only,0.48,350.4,,USD,General purpose,Up to 12500 Megabit,2026-02-15 14:39:26.144650
c6in.16xlarge,AWS,South America (Sao Paulo),64,128.0,0,EBS only,5.5776,4071.648,,USD,Compute optimized,100000 Megabit,2026-02-15 14:39:26.144733
i4g.large,AWS,South America (Sao Paulo),2,16.0,1,1 x 468 SSD,0.2466,180.018,,USD,Storage optimized,Up to 10 Gigabit,2026-02-15 14:39:26.144813
c6i.large,AWS,Asia Pacific (Seoul),2,4.0,0,EBS only,0.096,70.08,,USD,Compute optimized,Up to 12500 Megabit,2026-02-15 14:39:26.144892
g4ad.8xlarge,AWS,Canada (Central),32,128.0,1200,1200 GB NVMe SSD,1.936,1413.28,,USD,GPU instance,15 Gigabit,2026-02-15 14:39:26.144978
c8a.8xlarge,AWS,US West (Oregon),32,64.0,0,EBS only,1.72432,1258.7536,,USD,Compute optimized,15000 Megabit,2026-02-15 14:39:26.145014
m6gd.8xlarge,AWS,AWS GovCloud (US-West),32,128.0,1,1 x 1900 NVMe SSD,1.8304,1336.192,,USD,General purpose,12 Gigabit,2026-02-15 14:39:26.145089
m6idn.32xlarge,AWS,Asia Pacific (Mumbai),128,512.0,4,4 x 1900 NVMe SSD,10.8576,7926.048,,USD,General purpose,200000 Megabit,2026-02-15 14:39:26.145174
